country_id, name
"1","25 de Mayo"
"1","3 de febrero"
"1","A. Alsina"
"1","A. Gonzales Chaves"
"1","Aguas Verdes"
"1","Alberti"
"1","Arrecifes"
"1","Ayacucho"
"1","Azul"
"1","Bahia Blanca"
"1","Balcarce"
"1","Baradero"
"1","Benito Juarez"
"1","Berisso"
"1","Bolivar"
"1","Bragado"
"1","Brandsen"
"1","Campana"
"1","Caniuelas"
"1","Capilla del Senior"
"1","Capitan Sarmiento"
"1","Carapachay"
"1","Carhue"
"1","Carilo"
"1","Carlos Casares"
"1","Carlos Tejedor"
"1","Carmen de Areco"
"1","Carmen de Patagones"
"1","Castelli"
"1","Chacabuco"
"1","Chascomus"
"1","Chivilcoy"
"1","Colon"
"1","Coronel Dorrego"
"1","Coronel Pringles"
"1","Coronel Rosales"
"1","Coronel Suarez"
"1","Costa Azul"
"1","Costa Chica"
"1","Costa del Este"
"1","Costa Esmeralda"
"1","Daireaux"
"1","Darregueira"
"1","Del Viso"
"1","Dolores"
"1","Don Torcuato"
"1","Ensenada"
"1","Escobar"
"1","Exaltacion de la Cruz"
"1","Florentino Ameghino"
"1","Garin"
"1","Gral. Alvarado"
"1","Gral. Alvear"
"1","Gral. Arenales"
"1","Gral. Belgrano"
"1","Gral. Guido"
"1","Gral. Lamadrid"
"1","Gral. Las Heras"
"1","Gral. Lavalle"
"1","Gral. Madariaga"
"1","Gral. Pacheco"
"1","Gral. Paz"
"1","Gral. Pinto"
"1","Gral. Pueyrredon"
"1","Gral. Rodriguez"
"1","Gral. Viamonte"
"1","Gral. Villegas"
"1","Guamini"
"1","Guernica"
"1","Hipolito Yrigoyen"
"1","Ing. Maschwitz"
"1","Junin"
"1","La Plata"
"1","Laprida"
"1","Las Flores"
"1","Las Toninas"
"1","Leandro N. Alem"
"1","Lincoln"
"1","Loberia"
"1","Lobos"
"1","Los Cardales"
"1","Los Toldos"
"1","Lucila del Mar"
"1","Lujan"
"1","Magdalena"
"1","Maipu"
"1","Mar Chiquita"
"1","Mar de Ajo"
"1","Mar de las Pampas"
"1","Mar del Plata"
"1","Mar del Tuyu"
"1","Marcos Paz"
"1","Mercedes"
"1","Miramar"
"1","Monte"
"1","Monte Hermoso"
"1","Munro"
"1","Navarro"
"1","Necochea"
"1","Olavarria"
"1","Partido de la Costa"
"1","Pehuajo"
"1","Pellegrini"
"1","Pergamino"
"1","Pigue"
"1","Pila"
"1","Pilar"
"1","Pinamar"
"1","Pinar del Sol"
"1","Polvorines"
"1","Pte. Peron"
"1","Puan"
"1","Punta Indio"
"1","Ramallo"
"1","Rauch"
"1","Rivadavia"
"1","Rojas"
"1","Roque Perez"
"1","Saavedra"
"1","Saladillo"
"1","Salliquelo"
"1","Salto"
"1","San Andres de Giles"
"1","San Antonio de Areco"
"1","San Antonio de Padua"
"1","San Bernardo"
"1","San Cayetano"
"1","San Clemente del Tuyu"
"1","San Nicolas"
"1","San Pedro"
"1","San Vicente"
"1","Santa Teresita"
"1","Suipacha"
"1","Tandil"
"1","Tapalque"
"1","Tordillo"
"1","Tornquist"
"1","Trenque Lauquen"
"1","Tres Lomas"
"1","Villa Gesell"
"1","Villarino"
"1","Zarate"
"2","11 de Septiembre"
"2","20 de Junio"
"2","25 de Mayo"
"2","Acassuso"
"2","Adrogue"
"2","Aldo Bonzi"
"2","area Reserva Cinturon Ecologico"
"2","Avellaneda"
"2","Banfield"
"2","Barrio Parque"
"2","Barrio Santa Teresita"
"2","Beccar"
"2","Bella Vista"
"2","Berazategui"
"2","Bernal Este"
"2","Bernal Oeste"
"2","Billinghurst"
"2","Boulogne"
"2","Burzaco"
"2","Carapachay"
"2","Caseros"
"2","Castelar"
"2","Churruca"
"2","Ciudad Evita"
"2","Ciudad Madero"
"2","Ciudadela"
"2","Claypole"
"2","Crucecita"
"2","Dock Sud"
"2","Don Bosco"
"2","Don Orione"
"2","El Jaguel"
"2","El Libertador"
"2","El Palomar"
"2","El Tala"
"2","El Trebol"
"2","Ezeiza"
"2","Ezpeleta"
"2","Florencio Varela"
"2","Florida"
"2","Francisco alvarez"
"2","Gerli"
"2","Glew"
"2","Gonzalez Catan"
"2","Gral. Lamadrid"
"2","Grand Bourg"
"2","Gregorio de Laferrere"
"2","Guillermo Enrique Hudson"
"2","Haedo"
"2","Hurlingham"
"2","Ing. Sourdeaux"
"2","Isidro Casanova"
"2","Ituzaingo"
"2","Jose C. Paz"
"2","Jose Ingenieros"
"2","Jose Marmol"
"2","La Lucila"
"2","La Reja"
"2","La Tablada"
"2","Lanus"
"2","Llavallol"
"2","Loma Hermosa"
"2","Lomas de Zamora"
"2","Lomas del Millon"
"2","Lomas del Mirador"
"2","Longchamps"
"2","Los Polvorines"
"2","Luis Guillon"
"2","Malvinas Argentinas"
"2","Martin Coronado"
"2","Martinez"
"2","Merlo"
"2","Ministro Rivadavia"
"2","Monte Chingolo"
"2","Monte Grande"
"2","Moreno"
"2","Moron"
"2","Muniiz"
"2","Olivos"
"2","Pablo Nogues"
"2","Pablo Podesta"
"2","Paso del Rey"
"2","Pereyra"
"2","Pinieiro"
"2","Platanos"
"2","Pontevedra"
"2","Quilmes"
"2","Rafael Calzada"
"2","Rafael Castillo"
"2","Ramos Mejia"
"2","Ranelagh"
"2","Remedios de Escalada"
"2","Saenz Penia"
"2","San Antonio de Padua"
"2","San Fernando"
"2","San Francisco Solano"
"2","San Isidro"
"2","San Jose"
"2","San Justo"
"2","San Martin"
"2","San Miguel"
"2","Santos Lugares"
"2","Sarandi"
"2","Sourigues"
"2","Tapiales"
"2","Temperley"
"2","Tigre"
"2","Tortuguitas"
"2","Tristan Suarez"
"2","Trujui"
"2","Turdera"
"2","Valentin Alsina"
"2","Vicente Lopez"
"2","Villa Adelina"
"2","Villa Ballester"
"2","Villa Bosch"
"2","Villa Caraza"
"2","Villa Celina"
"2","Villa Centenario"
"2","Villa de Mayo"
"2","Villa Diamante"
"2","Villa Dominico"
"2","Villa Espania"
"2","Villa Fiorito"
"2","Villa Guillermina"
"2","Villa Insuperable"
"2","Villa Jose Leon Suarez"
"2","Villa La Florida"
"2","Villa Luzuriaga"
"2","Villa Martelli"
"2","Villa Obrera"
"2","Villa Progreso"
"2","Villa Raffo"
"2","Villa Sarmiento"
"2","Villa Tesei"
"2","Villa Udaondo"
"2","Virrey del Pino"
"2","Wilde"
"2","William Morris"
"3","Agronomia"
"3","Almagro"
"3","Balvanera"
"3","Barracas"
"3","Belgrano"
"3","Boca"
"3","Boedo"
"3","Caballito"
"3","Chacarita"
"3","Coghlan"
"3","Colegiales"
"3","Constitucion"
"3","Flores"
"3","Floresta"
"3","La Paternal"
"3","Liniers"
"3","Mataderos"
"3","Monserrat"
"3","Monte Castro"
"3","Nueva Pompeya"
"3","Nuniez"
"3","Palermo"
"3","Parque Avellaneda"
"3","Parque Chacabuco"
"3","Parque Chas"
"3","Parque Patricios"
"3","Puerto Madero"
"3","Recoleta"
"3","Retiro"
"3","Saavedra"
"3","San Cristobal"
"3","San Nicolas"
"3","San Telmo"
"3","Velez Sarsfield"
"3","Versalles"
"3","Villa Crespo"
"3","Villa del Parque"
"3","Villa Devoto"
"3","Villa Gral. Mitre"
"3","Villa Lugano"
"3","Villa Luro"
"3","Villa Ortuzar"
"3","Villa Pueyrredon"
"3","Villa Real"
"3","Villa Riachuelo"
"3","Villa Santa Rita"
"3","Villa Soldati"
"3","Villa Urquiza"
"4","Aconquija"
"4","Ancasti"
"4","Andalgala"
"4","Antofagasta"
"4","Belen"
"4","Capayan"
"4","Capital"
"4","Catamarca"
"4","Corral Quemado"
"4","El Alto"
"4","El Rodeo"
"4","F.Mamerto Esquiu"
"4","Fiambala"
"4","Hualfin"
"4","Huillapima"
"4","Icanio"
"4","La Puerta"
"4","Las Juntas"
"4","Londres"
"4","Los Altos"
"4","Los Varela"
"4","Mutquin"
"4","Paclin"
"4","Poman"
"4","Pozo de La Piedra"
"4","Puerta de Corral"
"4","Puerta San Jose"
"4","Recreo"
"4","S.F.V de Catamarca"
"4","San Fernando"
"4","San Fernando del Valle"
"4","San Jose"
"4","Santa Maria"
"4","Santa Rosa"
"4","Saujil"
"4","Tapso"
"4","Tinogasta"
"4","Valle Viejo"
"4","Villa Vil"
"5","Avia Terai"
"5","Barranqueras"
"5","Basail"
"5","Campo Largo"
"5","Capital"
"5","Capitan Solari"
"5","Charadai"
"5","Charata"
"5","Chorotis"
"5","Ciervo Petiso"
"5","Cnel. Du Graty"
"5","Col. Benitez"
"5","Col. Elisa"
"5","Col. Popular"
"5","Colonias Unidas"
"5","Concepcion"
"5","Corzuela"
"5","Cote Lai"
"5","El Sauzalito"
"5","Enrique Urien"
"5","Fontana"
"5","Fte. Esperanza"
"5","Gancedo"
"5","Gral. Capdevila"
"5","Gral. Pinero"
"5","Gral. San Martin"
"5","Gral. Vedia"
"5","Hermoso Campo"
"5","I. del Cerrito"
"5","J.J. Castelli"
"5","La Clotilde"
"5","La Eduvigis"
"5","La Escondida"
"5","La Leonesa"
"5","La Tigra"
"5","La Verde"
"5","Laguna Blanca"
"5","Laguna Limpia"
"5","Lapachito"
"5","Las Brenias"
"5","Las Garcitas"
"5","Las Palmas"
"5","Los Frentones"
"5","Machagai"
"5","Makalle"
"5","Margarita Belen"
"5","Miraflores"
"5","Mision N. Pompeya"
"5","Napenay"
"5","Pampa Almiron"
"5","Pampa del Indio"
"5","Pampa del Infierno"
"5","Pdcia. de La Plaza"
"5","Pdcia. Roca"
"5","Pdcia. Roque Saenz Penia"
"5","Pto. Bermejo"
"5","Pto. Eva Peron"
"5","Puero Tirol"
"5","Puerto Vilelas"
"5","Quitilipi"
"5","Resistencia"
"5","Saenz Penia"
"5","Samuhu"
"5","San Bernardo"
"5","Santa Sylvina"
"5","Taco Pozo"
"5","Tres Isletas"
"5","Villa angela"
"5","Villa Berthet"
"5","Villa R. Bermejito"
"6","Aldea Apeleg"
"6","Aldea Beleiro"
"6","Aldea Epulef"
"6","Alto Rio Sengerr"
"6","Buen Pasto"
"6","Camarones"
"6","Carrenleufu"
"6","Cholila"
"6","Co. Centinela"
"6","Colan Conhue"
"6","Comodoro Rivadavia"
"6","Corcovado"
"6","Cushamen"
"6","Dique F. Ameghino"
"6","Dolavon"
"6","Dr. R. Rojas"
"6","El Hoyo"
"6","El Maiten"
"6","Epuyen"
"6","Esquel"
"6","Facundo"
"6","Gaiman"
"6","Gan Gan"
"6","Gastre"
"6","Gdor. Costa"
"6","Gualjaina"
"6","J. de San Martin"
"6","Lago Blanco"
"6","Lago Puelo"
"6","Lagunita Salada"
"6","Las Plumas"
"6","Los Altares"
"6","Paso de los Indios"
"6","Paso del Sapo"
"6","Pto. Madryn"
